C,H,N,O,SC,TEMP,P,RT,H2
24.08,2.231,0,9.296,1,650,23,5,2.67
24.08,2.231,0,9.296,3,650,23,5,3.32
24.08,2.231,0,9.296,5,650,23,5,2.65
24.08,2.231,0,9.296,7,650,23,5,2.18
24.08,2.231,0,9.296,9,650,23,5,2.12
47.6,6.6,5.9,32.3,10,350,24,30,1.5
47.6,6.6,5.9,32.3,10,450,24,30,1.6
47.6,6.6,5.9,32.3,10,550,24,30,2.2
47.6,6.6,5.9,32.3,10,650,24,30,4
47.6,6.6,5.9,32.3,10,650,24,30,4
47.6,6.6,5.9,32.3,15,650,24,30,3
47.6,6.6,5.9,32.3,20,650,24,30,2.4
47.6,6.6,5.9,32.3,25,650,24,30,1.6
47.6,6.6,5.9,32.3,10,650,24,15,2.3
47.6,6.6,5.9,32.3,10,650,24,30,4
47.6,6.6,5.9,32.3,10,650,24,45,4.2
47.6,6.6,5.9,32.3,10,650,24,60,5
36.1,5.5,0.9,54.7,10,600,24,45,1.7
40.9,6.1,1.1,48.3,10,400,24,45,1.5
49.5,6.1,0.1,40.1,10,400,24,45,2.2
40.6,6.2,0.8,50,10,400,24,45,1.5
41.3,6.3,0.7,49.1,10,400,24,45,1.6
42.4,6.4,0.8,46.5,10,400,24,45,1.6
41.9,6.4,0.7,46.8,10,400,24,45,1.6
41.3,6.3,0.7,49.1,20,400,24,45,0.2
41.3,6.3,0.7,49.1,20,500,24,45,0.7
41.3,6.3,0.7,49.1,20,600,24,45,1
41.3,6.3,0.7,49.1,20,600,24,15,0.7
41.3,6.3,0.7,49.1,20,600,24,30,0.8
41.3,6.3,0.7,49.1,20,600,24,45,1
41.3,6.3,0.7,49.1,20,600,24,45,0.9
41.3,6.3,0.7,49.1,20,600,24,45,1.7
49.5,6.1,0.1,40.1,10,600,24,45,2.2
76.3,14.1,1.19,8.23,25,375,24,30,1.12
76.3,14.1,1.19,8.23,25,475,24,30,2.3
76.3,14.1,1.19,8.23,25,575,24,30,3.2
76.3,14.1,1.19,8.23,25,675,24,30,4.1
76.3,14.1,1.19,8.23,25,675,24,30,4.1
76.3,14.1,1.19,8.23,30,675,24,30,3.6
76.3,14.1,1.19,8.23,35,675,24,30,2.9
76.3,14.1,1.19,8.23,40,675,24,30,2.3
76.3,14.1,1.19,8.23,25,375,24,30,1.12
76.3,14.1,1.19,8.23,25,675,24,15,1
76.3,14.1,1.19,8.23,25,675,24,30,4.1
76.3,14.1,1.19,8.23,25,675,24,45,4.5
76.3,14.1,1.19,8.23,25,675,24,60,5.1
42.11,6.48,0,51.41,0.5,550,22.5,90,1.8
42.11,6.48,0,51.41,0.5,600,22.5,90,3.14
42.11,6.48,0,51.41,0.5,650,22.5,90,4.51
42.11,6.48,0,51.41,0.5,700,22.5,90,4.16
42.11,6.48,0,51.41,1,550,22.5,90,1.1
42.11,6.48,0,51.41,1,600,22.5,90,1.85
42.11,6.48,0,51.41,1,650,22.5,90,2.35
42.11,6.48,0,51.41,1,700,22.5,90,2.81
42.11,6.48,0,51.41,1.5,550,22.5,90,0.63
42.11,6.48,0,51.41,1.5,600,22.5,90,0.93
42.11,6.48,0,51.41,1.5,650,22.5,90,1.12
42.11,6.48,0,51.41,1.5,700,22.5,90,1.46
42.11,6.48,0,51.41,2.5,550,22.5,90,0.41
42.11,6.48,0,51.41,2.5,600,22.5,90,0.51
42.11,6.48,0,51.41,2.5,650,22.5,90,0.85
42.11,6.48,0,51.41,2.5,700,22.5,90,1.2
